classification,direction,item_id,none_changed,none_followed_sender,none_post_answer,none_post_correct,other_latentmas_changed,other_latentmas_followed_sender,other_latentmas_post_answer,other_latentmas_post_correct,other_statebridge_changed,other_statebridge_followed_sender,other_statebridge_post_answer,other_statebridge_post_correct,other_text_changed,other_text_followed_sender,other_text_post_answer,other_text_post_correct,receiver_pre_answer,receiver_pre_correct,self_latentmas_changed,self_latentmas_followed_sender,self_latentmas_post_answer,self_latentmas_post_correct,self_statebridge_changed,self_statebridge_followed_sender,self_statebridge_post_answer,self_statebridge_post_correct,self_text_changed,self_text_followed_sender,self_text_post_answer,self_text_post_correct,sender_correct,sender_pre_answer,true_latentmas_changed,true_latentmas_followed_sender,true_latentmas_post_answer,true_latentmas_post_correct,true_statebridge_changed,true_statebridge_followed_sender,true_statebridge_post_answer,true_statebridge_post_correct,true_text_changed,true_text_followed_sender,true_text_post_answer,true_text_post_correct
both_correct,B_to_A,14,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_correct,A_to_B,15,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,B_to_A,15,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,A_to_B,16,False,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_correct,B_to_A,16,False,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_correct,A_to_B,17,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_correct,B_to_A,17,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_wrong,A_to_B,18,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_A,18,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_correct,A_to_B,19,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_correct,B_to_A,19,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_wrong,A_to_B,20,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_A,20,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_correct,A_to_B,21,False,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_correct,B_to_A,21,False,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_correct,A_to_B,22,False,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_correct,B_to_A,22,False,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_wrong,A_to_B,23,False,True,b,False,False,True,b,False,True,False,d,True,False,True,b,False,b,False,False,True,b,False,False,True,b,False,False,True,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,B_to_A,23,False,True,b,False,False,True,b,False,False,True,b,False,False,True,b,False,b,False,False,True,b,False,False,True,b,False,False,True,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,A_to_B,24,False,True,d,False,False,True,d,False,False,True,d,False,False,True,d,False,d,False,False,True,d,False,False,True,d,False,False,True,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_A,24,False,True,d,False,False,True,d,False,False,True,d,False,False,True,d,False,d,False,False,True,d,False,False,True,d,False,False,True,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,A_to_B,25,False,True,b,False,False,True,b,False,True,False,a,False,False,True,b,False,b,False,False,True,b,False,False,True,b,False,False,True,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,B_to_A,25,False,True,b,False,False,True,b,False,False,True,b,False,False,True,b,False,b,False,False,True,b,False,False,True,b,False,False,True,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
correction_opportunity,A_to_B,26,True,False,b,False,True,True,a,True,True,True,a,True,True,False,b,False,,False,True,False,b,False,True,True,a,True,True,True,a,True,True,a,True,True,a,True,True,True,a,True,True,True,a,True
destruction_risk,B_to_A,26,False,False,a,True,False,False,a,True,False,False,a,True,False,False,a,True,a,True,False,False,a,True,False,False,a,True,False,False,a,True,False,,False,False,a,True,False,False,a,True,False,False,a,True
both_correct,A_to_B,27,False,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_correct,B_to_A,27,False,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_correct,A_to_B,28,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,B_to_A,28,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
destruction_risk,A_to_B,29,False,False,a,True,False,False,a,True,False,False,a,True,False,False,a,True,a,True,False,False,a,True,False,False,a,True,False,False,a,True,False,b,False,False,a,True,True,True,b,False,True,True,b,False
correction_opportunity,B_to_A,29,False,False,b,False,False,False,b,False,False,False,b,False,False,False,b,False,b,False,False,False,b,False,False,False,b,False,False,False,b,False,True,a,False,False,b,False,True,True,a,True,True,True,a,True
both_correct,A_to_B,30,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_correct,B_to_A,30,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_wrong,A_to_B,31,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_A,31,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_correct,A_to_B,32,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_correct,B_to_A,32,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_wrong,A_to_B,33,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_A,33,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_correct,A_to_B,34,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_correct,B_to_A,34,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_correct,A_to_B,35,False,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_correct,B_to_A,35,False,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_correct,A_to_B,36,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_correct,B_to_A,36,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_wrong,A_to_B,37,False,True,d,False,False,True,d,False,False,True,d,False,False,True,d,False,d,False,False,True,d,False,False,True,d,False,False,True,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_A,37,False,True,d,False,False,True,d,False,False,True,d,False,False,True,d,False,d,False,False,True,d,False,False,True,d,False,False,True,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_correct,A_to_B,38,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_correct,B_to_A,38,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_wrong,A_to_B,39,False,True,c,False,False,True,c,False,False,True,c,False,False,True,c,False,c,False,False,True,c,False,False,True,c,False,False,True,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,B_to_A,39,False,True,c,False,False,True,c,False,False,True,c,False,False,True,c,False,c,False,False,True,c,False,False,True,c,False,False,True,c,False,False,c,False,True,c,False,False,True,c,False,False,True,c,False
both_wrong,A_to_B,40,False,True,b,False,False,True,b,False,False,True,b,False,False,True,b,False,b,False,False,True,b,False,False,True,b,False,False,True,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,B_to_A,40,False,True,b,False,False,True,b,False,False,True,b,False,False,True,b,False,b,False,False,True,b,False,False,True,b,False,False,True,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
correction_opportunity,A_to_B,41,False,False,a,False,False,False,a,False,False,False,a,False,False,False,a,False,a,False,False,False,a,False,False,False,a,False,False,False,a,False,True,d,True,True,d,True,True,True,d,True,True,True,d,True
destruction_risk,B_to_A,41,False,False,d,True,False,False,d,True,False,False,d,True,False,False,d,True,d,True,False,False,d,True,False,False,d,True,False,False,d,True,False,a,False,False,d,True,False,False,d,True,True,True,a,False
both_correct,A_to_B,42,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,B_to_A,42,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_wrong,A_to_B,43,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_A,43,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_correct,A_to_B,44,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_correct,B_to_A,44,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_wrong,A_to_B,45,False,False,b,False,False,False,b,False,False,False,b,False,False,False,b,False,b,False,False,False,b,False,False,False,b,False,False,False,b,False,False,c,False,False,b,False,True,True,c,False,True,True,c,False
both_wrong,B_to_A,45,False,False,c,False,False,False,c,False,True,False,d,True,False,False,c,False,c,False,False,False,c,False,False,False,c,False,False,False,c,False,False,b,False,False,c,False,True,True,b,False,True,True,b,False
both_wrong,A_to_B,46,False,False,c,False,False,False,c,False,False,False,c,False,False,False,c,False,c,False,False,False,c,False,False,False,c,False,False,False,c,False,False,b,False,False,c,False,True,True,b,False,False,False,c,False
both_wrong,B_to_A,46,False,False,b,False,False,False,b,False,False,False,b,False,False,False,b,False,b,False,False,False,b,False,False,False,b,False,False,False,b,False,False,c,False,False,b,False,True,True,c,False,True,True,c,False
both_correct,A_to_B,47,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_correct,B_to_A,47,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_correct,A_to_B,48,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,B_to_A,48,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,A_to_B,49,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_correct,B_to_A,49,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_correct,A_to_B,50,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,B_to_A,50,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,A_to_B,51,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,B_to_A,51,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_wrong,A_to_B,52,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_A,52,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_correct,A_to_B,53,False,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_correct,B_to_A,53,False,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,b,True,False,True,b,True,False,True,b,True,False,True,b,True,True,b,False,True,b,True,False,True,b,True,False,True,b,True
both_wrong,A_to_B,54,False,True,d,False,False,True,d,False,False,True,d,False,False,True,d,False,d,False,False,True,d,False,False,True,d,False,False,True,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,B_to_A,54,False,True,d,False,False,True,d,False,False,True,d,False,False,True,d,False,d,False,False,True,d,False,False,True,d,False,False,True,d,False,False,d,False,True,d,False,False,True,d,False,False,True,d,False
both_wrong,A_to_B,55,False,True,b,False,False,True,b,False,False,True,b,False,False,True,b,False,b,False,False,True,b,False,False,True,b,False,False,True,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,B_to_A,55,False,True,b,False,False,True,b,False,False,True,b,False,False,True,b,False,b,False,False,True,b,False,False,True,b,False,False,True,b,False,False,b,False,True,b,False,False,True,b,False,False,True,b,False
both_wrong,A_to_B,56,False,False,b,False,False,False,b,False,False,False,b,False,False,False,b,False,b,False,False,False,b,False,False,False,b,False,False,False,b,False,False,a,False,False,b,False,False,False,b,False,False,False,b,False
both_wrong,B_to_A,56,False,False,a,False,False,False,a,False,False,False,a,False,False,False,a,False,a,False,False,False,a,False,False,False,a,False,False,False,a,False,False,b,False,False,a,False,True,True,b,False,False,False,a,False
both_correct,A_to_B,57,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,B_to_A,57,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,A_to_B,58,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_correct,B_to_A,58,False,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,a,True,False,True,a,True,False,True,a,True,False,True,a,True,True,a,False,True,a,True,False,True,a,True,False,True,a,True
both_correct,A_to_B,59,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_correct,B_to_A,59,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_wrong,A_to_B,60,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_wrong,B_to_A,60,False,True,a,False,False,True,a,False,False,True,a,False,False,True,a,False,a,False,False,True,a,False,False,True,a,False,False,True,a,False,False,a,False,True,a,False,False,True,a,False,False,True,a,False
both_correct,A_to_B,61,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_correct,B_to_A,61,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_correct,A_to_B,62,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,B_to_A,62,False,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,c,True,False,True,c,True,False,True,c,True,False,True,c,True,True,c,False,True,c,True,False,True,c,True,False,True,c,True
both_correct,A_to_B,63,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
both_correct,B_to_A,63,False,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,d,True,False,True,d,True,False,True,d,True,False,True,d,True,True,d,False,True,d,True,False,True,d,True,False,True,d,True
